time,Power_kW,HR,pres_mbar,rain_mm/h,solarRad_W/m2,temp_C,windGust_m/s,windSpeed_m/s,Holiday,Weekday,Hour,Month,Power -1,rain_day
2017-02-26 19:00:00,51.3145065,69.35833333333333,1023.0,0.0,0.7453333333333333,13.160833333333334,3.0819166666666664,2.5664166666666666,0,6,19,2,52.2081715,
2017-02-26 20:00:00,51.260974,71.12,1023.0,0.0,0.73825,12.950833333333334,2.7464166666666667,2.362,0,6,20,2,51.3145065,
2017-02-26 21:00:00,45.7921375,75.76666666666667,1023.0,0.0,0.7085833333333333,12.590833333333334,3.228666666666667,2.779583333333333,0,6,21,2,51.260974,
2017-02-26 22:00:00,44.6367095,78.91666666666667,1023.0,0.0,1.0478333333333334,12.148333333333332,3.1659166666666665,2.463416666666667,0,6,22,2,45.7921375,
2017-02-26 23:00:00,45.044649,81.02307692307691,1022.5384615384615,0.0,0.9204615384615386,11.99076923076923,3.734923076923077,2.833307692307692,0,6,23,2,44.6367095,
2017-02-27 00:00:00,44.4876925,85.64166666666667,1022.1666666666666,0.1333333333333333,0.7339166666666667,11.799166666666666,3.061,2.369166666666666,0,0,0,2,45.044649,
2017-02-27 01:00:00,43.911071,87.84166666666665,1022.0,0.375,0.86325,11.615,3.04,2.524583333333333,0,0,1,2,44.4876925,
2017-02-27 02:00:00,43.979243,87.77499999999999,1022.0,0.2083333333333333,0.64175,11.585833333333332,2.536833333333333,2.0809166666666665,0,0,2,2,43.911071,
2017-02-27 03:00:00,43.4747265,84.89999999999999,1021.0,0.0,0.5838333333333333,11.671666666666669,2.3900833333333336,1.8309166666666667,0,0,3,2,43.979243,
2017-02-27 04:00:00,43.007355,80.8,1021.0,0.0,0.6624166666666667,11.4325,2.7253333333333334,2.3289166666666667,0,0,4,2,43.4747265,
2017-02-27 05:00:00,43.6036415,79.35000000000001,1021.25,0.0,0.76175,11.47,4.926916666666666,3.9325833333333335,0,0,5,2,43.007355,
2017-02-27 06:00:00,50.9989925,81.59166666666667,1021.0,0.0,0.8676666666666666,11.114166666666668,4.570416666666667,3.780666666666667,0,0,6,2,43.6036415,
2017-02-27 07:00:00,86.7268015,81.8,1022.0,0.0,25.35891666666667,10.996666666666668,5.136333333333334,4.259416666666667,0,0,7,2,50.9989925,
2017-02-27 08:00:00,111.741337,80.97500000000001,1022.3333333333334,0.0,98.92,11.296666666666669,4.4235,3.5885,0,0,8,2,86.7268015,
2017-02-27 09:00:00,129.8193715,79.21666666666667,1023.0,0.0,178.65833333333333,11.315833333333332,4.821833333333333,4.02175,0,0,9,2,111.741337,
2017-02-27 10:00:00,224.1938915,66.02916666666667,1023.0,0.0,466.4666666666667,12.968333333333334,3.857666666666667,3.036583333333333,0,0,10,2,129.8193715,
2017-02-27 11:00:00,195.127055,52.55166666666667,1022.6666666666666,0.0,410.9,13.834166666666668,5.366666666666667,4.33275,0,0,11,2,224.1938915,
2017-02-27 12:00:00,207.4358155,53.22666666666667,1022.0833333333334,0.0,261.90000000000003,13.570833333333333,5.22025,4.256,0,0,12,2,195.127055,
2017-02-27 13:00:00,202.6851885,52.281666666666666,1021.9166666666666,0.0,294.1166666666667,13.955,5.0945,4.178833333333333,0,0,13,2,207.4358155,
2017-02-27 14:00:00,201.6057985,52.95,1021.0,0.0,235.525,13.975,6.100833333333334,4.905916666666667,0,0,14,2,202.6851885,
2017-02-27 15:00:00,200.8637725,56.39833333333333,1021.0,0.0,153.55833333333334,13.823333333333332,5.682166666666667,4.575666666666667,0,0,15,2,201.6057985,
2017-02-27 16:00:00,198.610819,61.75333333333333,1021.0,0.0,97.94166666666666,13.466666666666669,5.49275,4.297916666666667,0,0,16,2,200.8637725,
2017-02-27 17:00:00,144.20563,65.11833333333333,1021.0,0.0,67.5225,13.399166666666666,5.597833333333334,4.474333333333333,0,0,17,2,198.610819,
2017-02-27 18:00:00,131.6101975,68.335,1020.5833333333334,0.0,5.225833333333333,13.2875,6.184333333333334,4.993166666666666,0,0,18,2,144.20563,
2017-02-27 19:00:00,104.3523225,75.88166666666667,1020.8333333333334,0.2166666666666666,1.27825,12.845,5.450583333333333,4.315166666666667,0,0,19,2,131.6101975,
2017-02-27 20:00:00,85.327746,85.59166666666665,1021.0,0.7416666666666667,0.7061666666666667,11.930833333333332,4.255833333333333,3.4364166666666667,0,0,20,2,104.3523225,
2017-02-27 21:00:00,61.190925,81.22500000000001,1021.0,0.075,0.8446666666666666,11.821666666666664,3.68975,3.0696666666666665,0,0,21,2,85.327746,
2017-02-27 22:00:00,53.753185,80.50833333333334,1021.0,0.0,0.8815833333333334,11.856666666666667,3.83675,3.0100833333333337,0,0,22,2,61.190925,
2017-02-27 23:00:00,47.705542,75.825,1021.0,0.0,0.8075833333333334,11.493333333333334,4.528333333333333,3.773583333333333,0,0,23,2,53.753185,
2017-02-28 00:00:00,45.2703595,75.60000000000001,1021.0,0.0,0.7453333333333334,11.055,3.752916666666666,3.253,0,1,0,2,47.705542,
2017-02-28 01:00:00,43.90539,71.5125,1020.5,0.0,0.78025,11.248333333333331,4.528416666666667,3.8434166666666663,0,1,1,2,45.2703595,
2017-02-28 02:00:00,43.1950465,70.72916666666667,1020.0,0.0,0.9161666666666668,11.456666666666663,4.214083333333334,3.410333333333333,0,1,2,2,43.90539,
2017-02-28 03:00:00,43.4048065,64.865,1020.0,0.0,0.8076666666666666,11.808333333333332,3.9623333333333335,3.3545,0,1,3,2,43.1950465,
2017-02-28 04:00:00,43.356081,65.175,1020.0,0.0,0.8885000000000001,11.561666666666667,3.396333333333333,2.807583333333333,0,1,4,2,43.4048065,
2017-02-28 05:00:00,43.2251995,69.5125,1020.0,0.0,0.8009166666666667,11.345,4.088166666666667,3.282833333333333,0,1,5,2,43.356081,
2017-02-28 06:00:00,44.121268,69.0125,1020.1666666666666,0.0,0.8977499999999999,11.431666666666668,3.857416666666667,3.1780000000000004,0,1,6,2,43.2251995,
2017-02-28 07:00:00,72.7895605,79.70833333333333,1021.0,0.0,26.825166666666664,10.5725,4.255833333333333,3.4085,0,1,7,2,44.121268,
2017-02-28 08:00:00,87.0230875,76.45,1021.0,0.0,168.95833333333334,11.361666666666666,3.522083333333333,2.7411666666666665,0,1,8,2,72.7895605,
2017-02-28 09:00:00,91.8029935,70.73833333333333,1021.6666666666666,0.0,271.8,12.495833333333332,4.821583333333334,3.65125,0,1,9,2,87.0230875,
2017-02-28 10:00:00,172.7471925,64.03,1022.0,0.0,424.2833333333333,12.9225,5.765666666666667,4.776666666666666,0,1,10,2,91.8029935,
2017-02-28 11:00:00,140.4476485,64.06166666666667,1022.0,0.0,420.19166666666666,13.111666666666666,5.555916666666666,4.482916666666667,0,1,11,2,172.7471925,
2017-02-28 12:00:00,147.2207115,62.93333333333334,1022.0,0.0,360.1666666666667,13.388333333333334,5.4095,4.215833333333333,0,1,12,2,140.4476485,
2017-02-28 13:00:00,153.302222,57.32833333333334,1021.25,0.0,405.4083333333333,13.963333333333331,6.268249999999999,4.78175,0,1,13,2,147.2207115,
2017-02-28 14:00:00,154.3988735,56.62583333333333,1021.0,0.0,352.19166666666666,14.065833333333332,5.409166666666667,4.442583333333333,0,1,14,2,153.302222,
2017-02-28 15:00:00,149.884882,61.18833333333333,1021.0,0.0,208.29166666666663,13.410833333333334,5.849666666666667,4.68225,0,1,15,2,154.3988735,
2017-02-28 16:00:00,148.0575665,59.196666666666665,1021.0,0.0,258.3583333333333,13.765,5.1154166666666665,4.14075,0,1,16,2,149.884882,
2017-02-28 17:00:00,114.4216765,60.94,1021.4166666666666,0.0,63.1125,13.024166666666666,5.282666666666667,4.544083333333333,0,1,17,2,148.0575665,
2017-02-28 18:00:00,108.2254535,64.89333333333333,1022.0,0.0,7.147166666666667,12.879166666666668,4.94775,3.939666666666667,0,1,18,2,114.4216765,
2017-02-28 19:00:00,76.6723055,68.37083333333334,1022.4166666666666,0.0,0.8214166666666666,12.546666666666669,4.5285,3.70025,0,1,19,2,108.2254535,
2017-02-28 20:00:00,67.711402,70.62916666666666,1023.0,0.0,0.9001666666666667,12.29,4.1930000000000005,3.454,0,1,20,2,76.6723055,
2017-02-28 21:00:00,50.219603,71.66666666666667,1023.0,0.0,0.8885833333333334,11.985,3.6479166666666663,3.075,0,1,21,2,67.711402,
2017-02-28 22:00:00,46.26519,73.48333333333333,1023.0,0.0,1.3131666666666666,11.725833333333334,1.7400833333333334,1.2106666666666668,0,1,22,2,50.219603,
2017-02-28 23:00:00,45.6732735,73.60833333333333,1023.0,0.0,0.9231666666666666,11.611666666666666,0.6918333333333333,0.4088333333333333,0,1,23,2,46.26519,
2017-03-01 00:00:00,45.0562295,75.05,1022.8333333333334,0.0,1.213833333333333,11.360833333333332,1.0274166666666666,0.85075,0,2,0,3,45.6732735,
2017-03-01 01:00:00,44.23751,76.48333333333333,1022.0,0.0,0.8054166666666668,11.1775,1.4045,1.120083333333333,0,2,1,3,45.0562295,
2017-03-01 02:00:00,43.355207,78.71666666666667,1022.0,0.0,1.1861666666666666,11.219166666666666,2.5996666666666663,2.2310833333333333,0,2,2,3,44.23751,
2017-03-01 03:00:00,43.950838,80.16666666666667,1021.3333333333334,0.0,0.8931666666666667,11.351666666666668,2.285083333333333,1.8835,0,2,3,3,43.355207,
